Date,Open,High,Low,Close,Adj Close,Volume
2020-03-13,60.680000,63.169998,57.520000,63.080002,60.903576,1756500
2020-03-16,55.910000,56.680000,48.820000,50.009998,48.284519,3529300
2020-03-17,51.090000,51.150002,44.360001,46.590000,44.982517,3388300
2020-03-18,42.000000,44.810001,36.480000,40.639999,39.237808,3057000
2020-03-19,45.240002,47.090000,38.669998,43.430000,41.931549,3581200
2020-03-20,44.259998,49.029999,43.099998,46.090000,44.499771,3648300
2020-03-23,45.770000,50.320000,44.820000,47.459999,45.822506,2525800
2020-03-24,51.810001,56.380001,50.230000,56.000000,54.067848,2723900
2020-03-25,56.209999,65.309998,55.000000,62.470001,60.314617,2363400
2020-03-26,62.169998,66.290001,59.419998,60.959999,58.856720,2288000
2020-03-27,58.759998,59.000000,55.400002,56.639999,54.685764,1249300
2020-03-30,56.910000,57.700001,54.700001,57.020000,55.052654,882300
2020-03-31,57.529999,58.099998,55.430000,56.709999,54.753349,1703100
2020-04-01,54.790001,55.730000,51.520000,51.520000,49.742420,1314900
2020-04-02,51.830002,52.849998,49.029999,49.430000,47.724533,1942500
2020-04-03,47.990002,48.750000,46.689999,47.020000,45.397686,1711600
2020-04-06,50.759998,53.880001,49.770000,53.410000,51.567215,1979200
2020-04-07,57.590000,60.000000,54.139999,54.990002,53.092701,1445300
2020-04-08,55.930000,59.950001,54.730000,58.730000,56.703659,1709000
2020-04-09,60.450001,64.040001,59.990002,61.509998,59.387741,1690000
2020-04-13,61.009998,61.009998,57.119999,58.320000,56.307804,1049600
2020-04-14,59.639999,60.990002,58.529999,59.340000,57.292610,764500
2020-04-15,58.270000,59.130001,56.529999,58.730000,56.703659,745200
2020-04-16,59.220001,60.549999,57.880001,60.549999,58.460861,940100
2020-04-17,63.049999,64.580002,62.000000,64.519997,62.293884,1496800
2020-04-20,63.950001,63.950001,61.840000,62.360001,60.208416,1315700
2020-04-21,60.990002,61.799999,59.720001,60.189999,58.113285,1266900
2020-04-22,61.189999,64.750000,60.700001,64.260002,62.042862,1301600
2020-04-23,64.199997,66.070000,63.250000,64.949997,62.709049,964600
2020-04-24,65.500000,66.660004,64.730003,66.660004,64.360054,1831500
2020-04-27,66.709999,68.110001,66.230003,67.089996,64.775208,1465500
